Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar,Total_Number_Of_Collision,Total_Collided_Vehicles
10,8,0,0,0,0,0,0,0,0,0
20,8,1,0,0,1,0,0,0,0,0
30,12,2,2,1,1,1,1,0,1,2
40,12,2,4,2,1,3,1,0,2,4
50,20,4,5,2,2,3,2,0,2,4
60,20,7,8,5,4,5,3,3,6,8
70,24,9,11,6,4,6,5,4,12,13
80,24,10,11,9,5,6,5,6,11,12
90,32,11,11,13,6,6,5,8,13,14
100,32,11,11,14,6,6,5,8,14,15
110,36,11,11,16,6,6,5,8,16,19
,,,,,,,,,13,16
