Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,3,0,0,3,0,0,0
30.0,12,7,0,3,7,0,0,3
40.0,12,8,0,6,8,0,0,5
50.0,20,9,0,9,9,0,0,8
60.0,20,9,0,12,9,0,0,9
70.0,24,12,1,16,12,1,0,11
80.0,24,12,1,18,12,1,0,12
90.0,32,12,1,22,12,1,0,12
100.0,32,13,1,23,13,1,0,12
110.0,36,14,1,27,14,1,0,14
120.0,36,15,3,29,15,3,0,14
130.0,44,16,4,32,16,4,0,16
140.0,44,21,4,34,21,4,0,17
150.0,48,24,6,40,22,4,2,22
160.0,48,24,6,42,22,4,2,23
170.0,56,24,6,44,22,4,2,24
180.0,56,25,6,45,23,4,2,24
190.0,60,25,6,48,23,4,2,25
200.0,60,27,8,48,25,6,2,25
210.0,60,28,10,53,26,8,2,27
220.0,60,28,10,55,26,8,2,28
230.0,60,28,10,55,26,8,2,28
240.0,60,28,10,55,26,8,2,28
250.0,60,28,10,55,26,8,2,28
260.0,60,28,10,55,26,8,2,28
270.0,60,28,10,55,26,8,2,28
280.0,60,28,10,55,26,8,2,28
290.0,60,28,10,55,26,8,2,28
300.0,60,28,10,55,26,8,2,28
310.0,60,28,10,55,26,8,2,28
320.0,60,28,10,55,26,8,2,28
330.0,60,28,10,55,26,8,2,28
340.0,60,28,10,55,26,8,2,28
350.0,60,28,10,55,26,8,2,28
360.0,60,28,10,55,26,8,2,28
370.0,60,28,10,55,26,8,2,28
380.0,60,28,10,55,26,8,2,28
390.0,60,28,10,55,26,8,2,28
400.0,60,28,10,55,26,8,2,28
410.0,60,28,10,55,26,8,2,28
420.0,60,28,10,55,26,8,2,28
430.0,60,28,10,55,26,8,2,28
440.0,60,28,10,55,26,8,2,28
450.0,60,28,10,55,26,8,2,28
460.0,60,28,10,55,26,8,2,28
470.0,60,28,10,55,26,8,2,28
480.0,60,28,10,55,26,8,2,28
490.0,60,28,10,55,26,8,2,28
