Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,1,1
30.0,12,2,2
40.0,12,2,2
50.0,20,2,2
60.0,20,2,2
70.0,24,2,2
80.0,24,2,2
90.0,32,2,2
100.0,32,2,2
110.0,36,2,2
120.0,36,2,2
130.0,44,3,3
140.0,44,3,3
150.0,48,3,3
160.0,48,3,3
170.0,56,3,3
180.0,56,3,3
190.0,60,3,3
200.0,60,3,3
210.0,60,5,4
220.0,60,5,4
230.0,60,5,4
240.0,60,5,4
250.0,60,5,4
260.0,60,5,4
270.0,60,5,4
280.0,60,5,4
290.0,60,5,4
300.0,60,5,4
310.0,60,5,4
320.0,60,5,4
330.0,60,5,4
340.0,60,5,4
350.0,60,5,4
360.0,60,5,4
370.0,60,5,4
380.0,60,5,4
390.0,60,5,4
400.0,60,5,4
410.0,60,5,4
420.0,60,5,4
430.0,60,5,4
440.0,60,5,4
450.0,60,5,4
460.0,60,5,4
470.0,60,5,4
480.0,60,5,4
490.0,60,5,4
