Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,0,0,0,0,0,0,0
30.0,12,0,0,3,0,0,0,0
40.0,12,0,2,6,0,2,0,0
50.0,20,0,2,7,0,2,0,0
60.0,20,0,2,12,0,2,0,0
70.0,24,0,2,13,0,2,0,0
80.0,24,0,4,15,0,4,0,0
90.0,32,0,4,21,0,4,0,0
100.0,32,0,4,22,0,4,0,0
110.0,36,0,4,25,0,4,0,0
120.0,36,0,5,29,0,5,0,0
130.0,44,0,5,33,0,5,0,0
140.0,44,0,5,34,0,5,0,0
150.0,48,0,5,37,0,5,0,0
160.0,48,0,7,40,0,7,0,0
170.0,56,0,7,43,0,7,0,0
180.0,56,0,8,45,0,8,0,0
190.0,60,0,9,46,0,9,0,0
200.0,60,0,10,51,0,10,0,0
210.0,60,0,10,55,0,10,0,0
220.0,60,0,10,56,0,10,0,0
230.0,60,0,10,57,0,10,0,0
240.0,60,0,10,57,0,10,0,0
250.0,60,0,10,57,0,10,0,0
260.0,60,0,10,57,0,10,0,0
270.0,60,0,10,57,0,10,0,0
280.0,60,0,10,57,0,10,0,0
290.0,60,0,10,57,0,10,0,0
300.0,60,0,10,57,0,10,0,0
310.0,60,0,10,57,0,10,0,0
320.0,60,0,10,57,0,10,0,0
330.0,60,0,10,57,0,10,0,0
340.0,60,0,10,57,0,10,0,0
350.0,60,0,10,57,0,10,0,0
360.0,60,0,10,57,0,10,0,0
370.0,60,0,10,57,0,10,0,0
380.0,60,0,10,57,0,10,0,0
390.0,60,0,10,57,0,10,0,0
400.0,60,0,10,57,0,10,0,0
410.0,60,0,10,57,0,10,0,0
420.0,60,0,10,57,0,10,0,0
430.0,60,0,10,57,0,10,0,0
440.0,60,0,10,57,0,10,0,0
450.0,60,0,10,57,0,10,0,0
460.0,60,0,10,57,0,10,0,0
470.0,60,0,10,57,0,10,0,0
480.0,60,0,10,57,0,10,0,0
490.0,60,0,10,57,0,10,0,0
