Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,0,0
40.0,12,0,0
50.0,20,0,0
60.0,20,0,0
70.0,24,1,1
80.0,24,1,1
90.0,32,1,1
100.0,32,1,1
110.0,36,4,4
120.0,36,4,4
130.0,44,4,4
140.0,44,4,4
150.0,48,4,4
160.0,48,4,4
170.0,56,4,4
180.0,56,4,4
190.0,60,7,6
200.0,60,7,6
210.0,60,7,6
220.0,60,7,6
230.0,60,7,6
240.0,60,7,6
250.0,60,7,6
260.0,60,7,6
270.0,60,7,6
280.0,60,7,6
290.0,60,7,6
300.0,60,7,6
310.0,60,7,6
320.0,60,7,6
330.0,60,7,6
340.0,60,7,6
350.0,60,7,6
360.0,60,7,6
370.0,60,7,6
380.0,60,7,6
390.0,60,7,6
400.0,60,7,6
410.0,60,7,6
420.0,60,7,6
430.0,60,7,6
440.0,60,7,6
450.0,60,7,6
460.0,60,7,6
470.0,60,7,6
480.0,60,7,6
490.0,60,7,6
