Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,0,0
30.0,12,0,0
40.0,12,0,0
50.0,20,1,1
60.0,20,1,1
70.0,24,2,2
80.0,24,2,2
90.0,32,2,2
100.0,32,2,2
110.0,36,2,2
120.0,36,2,2
130.0,44,2,2
140.0,44,2,2
150.0,48,2,2
160.0,48,2,2
170.0,56,2,2
180.0,56,2,2
190.0,60,2,2
200.0,60,2,2
210.0,60,2,2
220.0,60,2,2
230.0,60,2,2
240.0,60,2,2
250.0,60,2,2
260.0,60,2,2
270.0,60,2,2
280.0,60,2,2
290.0,60,2,2
300.0,60,2,2
310.0,60,2,2
320.0,60,2,2
330.0,60,2,2
340.0,60,2,2
350.0,60,2,2
360.0,60,2,2
370.0,60,2,2
380.0,60,2,2
390.0,60,2,2
400.0,60,2,2
410.0,60,2,2
420.0,60,2,2
430.0,60,2,2
440.0,60,2,2
450.0,60,2,2
460.0,60,2,2
470.0,60,2,2
480.0,60,2,2
490.0,60,2,2
