Time,Speed,Acceleration,X,Y
1,9.794773362,1.613967852,498.4,982.6052266
2,9.903788669,0.109015306,498.4,972.701438
3,10.16375982,0.259971148,498.4,962.5376782
4,9.753014676,-0.41074514,498.4,952.7846635
5,10.36989583,0.616881153,498.4,942.4147676
6,10.44668671,0.076790886,498.4,931.9680809
7,9.61389271,-0.832794005,498.4,922.3541882
8,10.36064265,0.746749941,495.2,911.9935456
9,9.52845635,-0.8321863,495.2,902.4650892
10,10.89142016,1.36296381,495.2,891.5736691
11,10.62239823,-0.269021932,495.2,880.9512708
12,10.07252176,-0.549876469,495.2,870.8787491
13,10.58981092,0.517289162,495.2,860.2889382
14,10.99189075,0.40207983,495.2,849.2970474
15,10.68156694,-0.310323813,495.2,838.6154805
16,10.4184845,-0.26308244,495.2,828.196996
17,9.867354722,-0.551129777,495.2,818.3296412
18,9.61262046,-0.254734262,495.2,808.7170208
19,10.08733695,0.474716488,495.2,798.6296838
20,10.15940416,0.072067213,495.2,788.4702797
21,9.632757632,-0.526646529,495.2,778.837522
22,7.632757632,-2,495.2,771.2047644
23,5.632757632,-2,495.2,765.5720068
24,3.632757632,-2,495.2,761.9392491
25,5.443100502,1.81034287,495.2,756.4961486
26,8.140285876,2.697185374,495.2,748.3558628
27,10.94383396,2.803548081,498.4,737.4120288
28,10.5821691,-0.361664856,498.4,726.8298597
29,8.582169101,-2,498.4,718.2476906
30,6.582169101,-2,498.4,711.6655215
31,9.09821393,2.516044828,498.4,702.5673076
32,10.79881,1.700596072,498.4,691.7684976
33,10.33941637,-0.459393628,498.4,681.4290812
34,10.32391009,-0.015506284,498.4,671.1051711
35,9.605365399,-0.718544691,498.4,661.4998057
36,10.98969108,1.384325678,498.4,650.5101146
37,9.858976003,-1.130715074,498.4,640.6511386
38,10.03395063,0.174974626,498.4,630.617188
39,10.38425408,0.350303453,498.4,620.2329339
40,9.680878248,-0.703375834,498.4,610.5520557
41,10.59041978,0.90954153,498.4,599.9616359
42,9.755229553,-0.835190225,498.4,590.2064063
43,10.17928656,0.424057004,498.4,580.0271198
44,9.909968779,-0.269317778,498.4,570.117151
45,10.07049092,0.160522144,498.4,560.0466601
46,10.76228151,0.691790586,498.4,549.2843786
47,10.18012434,-0.582157165,498.4,539.1042542
48,10.22255649,0.042432143,498.4,528.8816977
49,10.39329901,0.170742527,498.4,518.4883987
50,7.153018283,-3.240280731,498.7203398,511.3576216
51,7.597174257,0.444155974,500.9688939,504.2518435
52,2.756653897,-4.84052036,502.5125153,502.0124908
53,0.643434629,-2.113219269,503.0643838,501.6813697
54,0.095672522,-0.547762106,503.1464413,501.6321352
55,0.037641318,-0.058031204,503.178726,501.6127644
56,0.021458513,-0.016182805,503.1971308,501.6017215
57,0.001957701,-0.019500813,503.1988099,501.6007141
58,0.000349306,-0.001608395,503.1991095,501.6005343
59,0,-0.000349306,503.1991095,501.6005343
