Time,Node_Count,Total_Node_Count
1.0,0,0
1.5,0,0
2.0,0,0
2.5,0,0
3.0,0,0
3.5,0,0
4.0,0,0
4.5,0,0
5.0,0,0
5.5,0,0
6.0,0,0
6.5,0,0
7.0,0,0
7.5,0,0
8.0,0,0
8.5,0,0
9.0,0,0
9.5,0,0
10.0,0,0
10.5,0,0
11.0,0,0
11.5,0,0
12.0,0,0
12.5,0,0
13.0,0,0
13.5,0,0
14.0,0,0
14.5,0,0
15.0,0,0
15.5,0,0
16.0,0,0
16.5,0,0
17.0,0,0
17.5,0,0
18.0,0,0
18.5,0,0
19.0,0,0
19.5,0,0
20.0,0,0
20.5,0,0
21.0,0,0
21.5,0,0
22.0,0,0
22.5,0,0
23.0,0,0
23.5,0,0
24.0,0,0
24.5,0,0
25.0,0,0
25.5,0,0
26.0,0,0
26.5,0,0
27.0,0,0
27.5,0,0
28.0,2,2
28.5,1,3
29.0,0,3
29.5,0,3
30.0,0,3
30.5,0,3
31.0,0,3
31.5,1,4
32.0,0,4
32.5,0,4
33.0,0,4
33.5,0,4
34.0,0,4
34.5,0,4
35.0,0,4
35.5,0,4
36.0,0,4
36.5,0,4
37.0,0,4
37.5,0,4
38.0,0,4
38.5,0,4
39.0,0,4
39.5,0,4
40.0,0,4
40.5,0,4
41.0,0,4
41.5,0,4
42.0,0,4
42.5,0,4
43.0,0,4
43.5,0,4
44.0,0,4
44.5,0,4
45.0,0,4
45.5,0,4
46.0,0,4
46.5,0,4
47.0,0,4
47.5,0,4
48.0,0,4
48.5,0,4
49.0,0,4
49.5,0,4
50.0,0,4
50.5,1,5
51.0,0,5
51.5,0,5
52.0,0,5
52.5,0,5
53.0,0,5
53.5,0,5
54.0,0,5
54.5,0,5
55.0,0,5
55.5,0,5
56.0,0,5
56.5,0,5
57.0,0,5
57.5,0,5
58.0,0,5
58.5,0,5
59.0,0,5
59.5,0,5
